# Server version 0.08 running on 192.168.2.27:8123
# Game ID: 108
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Apr 06 09:32:48 EDT 2014
# Player 1: Player-0, 'ABPruning', running on localhost
# Player 2: Player-1, 'ABPruning', running on localhost
# Player 3: Player-2, 'ABPruning', running on localhost
# Player 4: Player-3, 'ABPruning', running on localhost
START Player-0 ABPruning
START Player-1 ABPruning
START Player-2 ABPruning
START Player-3 ABPruning
0 (3,1) (4,2)
1 (14,3) (13,4)
2 (1,13) (3,13)
2 null null
3 (14,12) (13,12)
0 (4,2) (3,1)
1 (12,1) (14,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (12,15) (12,13)
3 null null
0 (0,3) (2,3)
0 null null
1 (15,1) (13,3)
1 (13,3) (13,5)
1 null null
2 (2,13) (1,14)
3 (12,14) (11,14)
0 (1,0) (3,2)
0 (3,2) (1,4)
0 null null
1 (14,2) (14,4)
1 null null
2 (0,12) (0,11)
3 (11,14) (10,15)
0 (2,2) (0,4)
0 null null
1 (13,1) (13,3)
1 (13,3) (15,5)
1 null null
2 (1,12) (2,11)
3 (14,14) (12,14)
3 (12,14) (12,12)
3 null null
0 (0,1) (1,0)
1 (12,0) (12,1)
2 (2,14) (4,12)
2 (4,12) (2,12)
2 (2,12) (4,14)
2 null null
3 (12,12) (12,14)
3 (12,14) (14,14)
3 (14,14) (14,12)
3 null null
0 (0,0) (0,1)
1 (15,5) (15,6)
2 (3,15) (4,15)
3 (14,13) (12,11)
3 null null
0 (0,1) (0,3)
0 (0,3) (2,5)
0 null null
1 (13,2) (15,4)
1 null null
2 (0,11) (1,12)
3 (12,11) (14,13)
3 (14,13) (14,11)
3 null null
0 (2,3) (0,5)
0 (0,5) (0,3)
0 (0,3) (0,1)
0 null null
1 (15,6) (14,5)
2 (3,14) (2,14)
3 (13,12) (14,13)
0 (2,5) (0,3)
0 (0,3) (0,5)
0 null null
1 (13,5) (12,5)
2 (2,11) (4,13)
2 (4,13) (2,13)
2 null null
3 (15,14) (13,12)
3 null null
0 (3,0) (4,1)
1 (12,1) (12,2)
2 (4,15) (4,13)
2 null null
3 (14,12) (14,10)
3 null null
0 (2,0) (2,2)
0 null null
1 (15,3) (15,5)
1 (15,5) (13,3)
1 null null
