# Server version 0.08 running on web024023.wireless.mcgill.ca:8123
# Game ID: 117
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Apr 11 20:18:19 EDT 2014
# Player 1: Player-0, '260457751', running on localhost
# Player 2: Player-1, 'random', running on web024023.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web024023.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web024023.wireless.mcgill.ca
START Player-0 260457751
START Player-1 random
START Player-2 random
START Player-3 random
0 null null
1 (12,3) (12,4)
2 (2,13) (1,12)
3 (12,11) (11,10)
0 (10,7) (11,8)
1 (12,4) (12,5)
2 (4,15) (3,15)
3 (9,15) (11,15)
3 (11,15) (13,15)
3 null null
0 (8,8) (9,9)
1 (14,1) (15,1)
2 (0,8) (1,7)
3 (11,11) (12,11)
0 (9,9) (10,10)
1 (11,6) (13,4)
1 null null
2 (3,11) (4,12)
3 (13,14) (13,13)
0 (10,10) (12,10)
0 (12,10) (12,12)
0 null null
1 (13,4) (14,3)
2 (1,13) (2,12)
3 (14,15) (13,14)
0 (12,15) (14,15)
0 null null
1 (11,1) (11,2)
2 (7,15) (6,15)
3 (12,11) (13,12)
0 (1,0) (2,1)
1 (9,6) (8,5)
2 (0,7) (0,8)
3 (11,10) (12,10)
0 (2,1) (3,2)
1 (11,2) (10,3)
2 (0,13) (0,12)
3 (13,15) (12,15)
0 (3,2) (4,3)
1 (14,3) (13,4)
2 (4,12) (4,14)
2 null null
3 (12,10) (13,11)
0 (12,14) (13,15)
1 (13,4) (12,4)
2 (4,11) (5,11)
3 (13,12) (11,12)
3 null null
0 (12,12) (12,14)
0 null null
1 (12,5) (13,4)
2 (3,15) (4,15)
3 (14,12) (14,11)
0 (4,4) (5,5)
1 (12,4) (13,3)
2 (0,8) (1,9)
3 (12,13) (12,12)
0 (5,5) (6,6)
1 (14,6) (13,6)
2 (4,15) (5,14)
3 (12,12) (13,12)
0 (6,6) (7,7)
1 (13,6) (13,5)
2 (2,12) (3,11)
3 (13,11) (15,11)
3 null null
0 (7,7) (8,8)
1 (10,3) (11,3)
2 (6,15) (7,15)
3 (11,14) (10,13)
0 (8,8) (9,9)
1 (13,2) (14,3)
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (11,12) (12,13)
0 (9,9) (10,10)
1 (13,3) (12,2)
2 (1,12) (1,13)
3 (15,11) (14,10)
0 (10,10) (11,11)
1 (12,2) (12,1)
2 (4,13) (3,14)
3 (15,10) (13,10)
3 null null
0 (11,11) (12,12)
1 (11,0) (13,2)
1 null null
2 (5,14) (6,13)
3 (14,14) (14,12)
3 null null
0 (12,12) (14,14)
0 null null
1 (13,4) (13,6)
1 null null
2 (1,7) (2,8)
3 (12,13) (11,13)
0 (1,1) (2,2)
1 (14,3) (14,4)
2 (1,15) (2,15)
3 (10,13) (11,12)
0 (2,2) (3,3)
1 (13,6) (12,5)
2 (3,11) (4,12)
3 (11,12) (12,12)
0 (3,3) (5,3)
0 (5,3) (7,5)
0 (7,5) (9,5)
0 null null
1 (13,5) (13,4)
2 (1,13) (2,12)
3 (15,12) (15,11)
0 (9,5) (10,6)
1 (8,5) (9,5)
2 (4,10) (5,10)
3 (10,15) (10,14)
0 (6,4) (7,5)
1 (12,5) (12,6)
2 (1,9) (3,7)
2 null null
3 (15,13) (13,11)
3 (13,11) (15,9)
3 null null
0 (7,5) (8,6)
